Part Number,Operation No,Cycle Time (min),Machine Type,Target Per Hour
20765,OP10,6.3,CNC,9
107583,OP10,2.0,CNC,30
107583,OP20,1.0,CNC,60
203054,OP10,5.45,CNC,11
203054,OP20,2.4,CNC,25
208118,OP10,3.0,CNC,20
209808,OP10,7.5,CNC,8
209808,OP20,4.0,CNC,15
209910,OP10,15.0,CNC,4
209910,OP20,5.0,CNC,12
209939,OP10,8.0,CNC,7
212488,OP10,7.5,CNC,8
212491,OP10,8.0,CNC,7
213351,OP10,15.0,CNC,4
213351,OP20,6.0,CNC,10
215397,OP10,5.0,CNC,12
215397,OP20,3.0,CNC,20
216017,OP10,8.5,CNC,7
216017,OP20,10.0,CNC,6
218532,OP10,12.0,CNC,5
218532,OP20,3.0,CNC,20
313854,OP10,12.0,CNC,5
313854,OP20,12.0,VMC,5
313854,OP30,30.0,VMC,2
313861,OP10,30.0,CNC,2
313861,OP20,12.0,CNC,5
313861,OP30,20.0,VMC,3
313863,OP10,12.0,CNC,5
313863,OP20,10.0,CNC,6
313863,OP30,20.0,VMC,3
313863,OP40,15.0,VMC,4
313865,OP10,12.0,CNC,5
313865,OP20,20.0,VMC,3
313940,OP10,15.0,CNC,4
313940,OP20,12.0,VMC,5
313940,OP30,30.0,VMC,2
313954,OP10,15.0,CNC,4
313954,OP20,12.0,VMC,5
313954,OP30,30.0,VMC,2
313956,OP30,15.0,CNC,4
313956,OP10,12.0,VMC,5
313956,OP20,12.0,VMC,5
319120,OP10,12.0,CNC,5
319120,OP20,12.0,VMC,5
319120,OP30,15.0,VMC,4
319206,OP10,20.0,CNC,3
319206,OP20,15.0,CNC,4
319206,OP30,24.0,VMC,2
501253,OP10,4.0,CNC,15
707407,OP10,4.0,CNC,15
707407,OP20,1.5,CNC,40
2865200,OP10,4.0,CNC,15
2865200,OP20,2.0,CNC,30
2865481,OP10,5.0,CNC,12
2865525,OP10,5.0,CNC,12
2865525,OP20,3.0,CNC,20
2867709,OP10,4.0,CNC,15
2867709,OP20,1.5,CNC,40
3002175,OP10,20.0,CNC,3
3002175,OP20,7.5,CNC,8
3002183,OP10,6.0,CNC,10
3002183,OP20,3.0,CNC,20
3005507,OP10,3.0,CNC,20
3009483,OP10,6.0,CNC,10
3009483,OP20,4.0,CNC,15
3011633,OP10,5.0,CNC,12
3013336,OP10,5.0,CNC,12
3013336,OP20,6.0,CNC,10
3015113,OP10,8.5,CNC,7
3015113,OP20,3.0,CNC,20
3015527,OP10,7.5,CNC,8
3023473,OP10,9.0,CNC,6
3023473,OP20,5.0,CNC,12
3025861,OP10,3.33,CNC,18
3025861,OP20,3.0,CNC,20
3025928,OP10,9.0,CNC,6
3025928,OP20,9.0,CNC,6
3031737,OP10,20.0,CNC,3
3031737,OP20,30.0,CNC,2
3033628,OP10,20.0,CNC,3
3033628,OP20,6.0,CNC,10
3035843,OP10,8.5,CNC,7
3035843,OP20,3.0,CNC,20
3067997,OP10,3.33,CNC,18
