Item Code,Category,Unit,RM Item Name,FG Item Name,Min Stock,RM Rate,FG Rate
3003239,Bought Out Items,Nos,,,0.0,28.73,0.0
3076346,Bought Out Items,Nos,,,0.0,52.24,0.0
Dowell Pin - S26-88,Bought Out Items,Nos.,,,0.0,2.63,0.0
Sleeve Wear 3076346,Bought Out Items,Nos.,,,0.0,52.24,0.0
Sleeve Wear 3003239,Bought Out Items,Nos.,,,0.0,28.73,0.0
Sleeve Wear 203097,Bought Out Items,Nos.,,,0.0,31.2,0.0
Sleeve Wear 190397,Bought Out Items,Nos.,,,0.0,52.24,0.0
Sleeve Wear 107583,Bought Out Items,Nos.,,,0.0,27.86,0.0
DP4 Bush,Bought Out Items,Nos.,,,0.0,32.93,0.0
Cleaning Media - CL002,Consumables,Ltr.,,,0.0,0.0,0.0
Rust Preventive Oil - 135 A EX,Consumables,Ltr.,,,0.0,0.0,0.0
Balmerol Multi Purpose Grease 1Kg,Consumables,Ltr.,,,0.0,0.0,0.0
Zic Gear 460,Consumables,Ltr.,,,0.0,0.0,0.0
Power Hydgear 320,Consumables,Ltr.,,,0.0,0.0,0.0
Soluble Cutting oil- Supreme Plus,Consumables,Ltr.,,,0.0,0.0,0.0
Tapping oil,Consumables,Ltr.,,,0.0,0.0,0.0
Machine Oil 40no.,Consumables,Ltr.,,,0.0,0.0,0.0
Hydraulic oil VG 68No.,Consumables,Ltr.,,,0.0,0.0,0.0
SC Drill Ø3.175x48x80xSH4,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Drill Ø14.50x40x80xSH15,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Ball Nose End Mill Ø 3.0x8FLXx50OALxSH4,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Endmill Dia 2.00x30DEGx60xSH10,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Reamer Dia. 18.265x40x80x16SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
Chamfer Combination Boring Bar Ø 25.7/32.5,Cutting Tools,Nos.,,,0.0,0.0,0.0
FORM TOOL Ø 17.5x20x30x18SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
Lug Tool Ø 10x20x130x10SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Ch.Tool Ø 18x15DEGx30x70xSH16,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Ch.Tool Ø 20x30DEGx30x70,Cutting Tools,Nos.,,,0.0,0.0,0.0
Spot Ch.Tool Ø 4x15x9x60,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Ch.Tool Ø 5.5x30DEGx40x80x6SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Reamer Ø 4.975x30x60x5SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Reamer Ø 16.007x25x60x16SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Reamer Ø 16x25x60x16SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Reamer Ø 18.865x25x60x19SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Reamer Ø 18.860x25x60x19SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Reamer Ø 5.074x20x60x5SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Reamer Ø 5.065x20x60x5SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Reamer Ø 8.93x50x90x9SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Reamer Ø 6.93x40x90x7SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Endmill Ø 20x17x60x20SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Endmill Ø 20.5x40x80x21SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Endmill Ø 8.12x20x130x8SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Endmill Ø 4.8x30x60x6SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC End Mill Ø 15.7x40x80xSH16,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Drill Ø 13.2x50x100x14SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Drill Ø 11.15x40x80x12SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Drill Ø 10.6x50x100x11SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Drill Ø 8.8x50x80x9SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Drill Ø 8.5x40x80x9SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Drill Ø 16.5x40x80x17SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Drill Ø 14.3x25x60x15SH,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Drill Ø 3.0 x 35FL x 70 OAL x SH5,Cutting Tools,Nos.,,,0.0,0.0,0.0
S/C Drill Ø 3.0 x 35FL x 70 OAL X SH3,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Drill Ø 4.5x35x70xSH5,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Drill Ø 5.5x25x60xSH6,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Drill Ø 6.6x25x60xSH7,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Drill Ø 6.8x40x90xSH7,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Drill Ø 10.7x40x80xSH11,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Drill Ø 14x50x80xSH14,Cutting Tools,Nos.,,,0.0,0.0,0.0
SC Drill Ø 17.5x40x80xSH18,Cutting Tools,Nos.,,,0.0,0.0,0.0
VCMT 160404 EN-29 CTPX710,Cutting Tools,Nos.,,,0.0,0.0,0.0
VCGT 160404 FN-27 CTPX710,Cutting Tools,Nos.,,,0.0,0.0,0.0
VCGT 160404 FN-25P CTPX710,Cutting Tools,Nos.,,,0.0,0.0,0.0
VCMT 110304 EN-SMF CTCP115,Cutting Tools,Nos.,,,0.0,0.0,0.0
CCMT 060204 EN-29 AMZ,Cutting Tools,Nos.,,,0.0,0.0,0.0
GX16-2S1.70R CTP1340,Cutting Tools,Nos.,,,0.0,0.0,0.0
GX16-2S1.70L CTP1340,Cutting Tools,Nos.,,,0.0,0.0,0.0
SCMT 09T308 EN-SM CTIP2240,Cutting Tools,Nos.,,,0.0,0.0,0.0
LNHX 1106 PNER - R50 CTPK220,Cutting Tools,Nos.,,,0.0,0.0,0.0
OAKU 060508SR-R50 CTCK215,Cutting Tools,Nos.,,,0.0,0.0,0.0
SNMG 120412 EN TMR CTICK110,Cutting Tools,Nos.,,,0.0,0.0,0.0
SNMG 120408 EN TMR CTICK110,Cutting Tools,Nos.,,,0.0,0.0,0.0
SDNT 09T308 SR-33 CTPM240,Cutting Tools,Nos.,,,0.0,0.0,0.0
CCGT 060202 EN SF CTICP135,Cutting Tools,Nos.,,,0.0,0.0,0.0
VCMT 160404 EN-29 AMZ,Cutting Tools,Nos.,,,0.0,0.0,0.0
VCMT 160404 EN -SMF CTICP125,Cutting Tools,Nos.,,,0.0,0.0,0.0
GX16-1E2.00N0.20-M40 CTP1340,Cutting Tools,Nos.,,,0.0,0.0,0.0
GX16-2E3.00N0.30-M40 CTP1340,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160408 EN F30 CTPM125,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160404 EN F30 CTPM125,Cutting Tools,Nos.,,,0.0,0.0,0.0
TCMT 110204 EN-SMF TCM 10,Cutting Tools,Nos.,,,0.0,0.0,0.0
SDNT 09T308 SR-31 CTCK215,Cutting Tools,Nos.,,,0.0,0.0,0.0
GX24-3R2.00N-M3 CTCP335,Cutting Tools,Nos.,,,0.0,0.0,0.0
TPAN 1603 PPN H216T,Cutting Tools,Nos.,,,0.0,0.0,0.0
VNMG 12T304 EN-TMF CTICP125,Cutting Tools,Nos.,,,0.0,0.0,0.0
VCMT 160404 EN SMF-CTIW3115,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160412 - HS PC 5300,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160404 - NEG AC 6040,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160408 - NEG AC 6040,Cutting Tools,Nos.,,,0.0,0.0,0.0
CCMT 09T308 - AC 6040,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160408 - MACTM9125,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160412 - MACTM9125,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160402 MS KC5010,Cutting Tools,Nos.,,,0.0,0.0,0.0
A4G0305M03U04GMNKC5025 (Grooving Insert),Cutting Tools,Nos.,,,0.0,0.0,0.0
TPAN 1603PPN THM (Milling Insert),Cutting Tools,Nos.,,,0.0,0.0,0.0
V-D-MT D374/C M12x1.5 6HX,Cutting Tools,Nos.,,,0.0,0.0,0.0
MDHX1004ZDFRGD4W K110M,Cutting Tools,Nos.,,,0.0,0.0,0.0
SEKN 1203AFN PA120,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160404 22 PA120,Cutting Tools,Nos.,,,0.0,0.0,0.0
44415820 THM,Cutting Tools,Nos.,,,0.0,0.0,0.0
WMT S505M5U03PT WP10CT,Cutting Tools,Nos.,,,0.0,0.0,0.0
WMTS 305M3U03PT WP10CT,Cutting Tools,Nos.,,,0.0,0.0,0.0
WMTR 405M4UPC WU10PT,Cutting Tools,Nos.,,,0.0,0.0,0.0
VNMG 12T308 WS25PT,Cutting Tools,Nos.,,,0.0,0.0,0.0
VNMG 12T308 TN2000,Cutting Tools,Nos.,,,0.0,0.0,0.0
VNMG 12T304 TN4000,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160408 TN2000,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG160412TN2000,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMG 160404 TN2000,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMA 160412 WK20CT,Cutting Tools,Nos.,,,0.0,0.0,0.0
TNMA 160408 WK20CT,Cutting Tools,Nos.,,,0.0,0.0,0.0
TCMT 110204 THM,Cutting Tools,Nos.,,,0.0,0.0,0.0
SPKN 1203EDR PA120,Cutting Tools,Nos.,,,0.0,0.0,0.0
SPKN 1203EDL PA120,Cutting Tools,Nos.,,,0.0,0.0,0.0
HST 1/8 NPT BOT,Cutting Tools,Nos.,,,0.0,0.0,0.0
CCMT 060204 TN4000,Cutting Tools,Nos.,,,0.0,0.0,0.0
44415822 THM,Cutting Tools,Nos.,,,0.0,0.0,0.0
"Ruststoppers Poly Bags 22""x27"" 120 microns",Packing Material,Nos.,,,0.0,0.0,0.0
"Ruststoppers Poly Bags 18""x22"" 120 microns",Packing Material,Nos.,,,0.0,0.0,0.0
"Ruststoppers Poly Bags 14""x18"" 120 microns",Packing Material,Nos.,,,0.0,0.0,0.0
"Ruststoppers Poly Bags 12""x16"" 120 microns",Packing Material,Nos.,,,0.0,0.0,0.0
"Ruststoppers Poly Bags 9""x13"" 120 microns",Packing Material,Nos.,,,0.0,0.0,0.0
"Ruststoppers Poly Bags 6""x8"" 120 microns",Packing Material,Nos.,,,0.0,0.0,0.0
"Ruststoppers VCI Bag 2D 9""x14"" 75 microns",Packing Material,Nos.,,,0.0,0.0,0.0
"Ruststoppers VCI Bag 2D 6""x8"" 75 microns",Packing Material,Nos.,,,0.0,0.0,0.0
Ruststoppers VCI Bag 3D With Flap 250x250x250 mm 100 microns,Packing Material,Nos.,,,0.0,0.0,0.0
Ruststoppers VCI Bag 3D With Flap 850x670x700 mm 100 microns,Packing Material,Nos.,,,0.0,0.0,0.0
Ruststoppers VCI Bag 3D With Flap 850x650x450 mm 100 microns,Packing Material,Nos.,,,0.0,0.0,0.0
